date,open,high,low,close,volume,ups_and_downs,quote_change
2020/4/22,10256.11,10310.85,10140.09,10307.74,15340317,19.32,0.19
2020/4/23,10370.13,10462.7,10294.88,10366.51,15598940,58.77,0.57
2020/4/24,10367.97,10386.93,10324.2,10347.36,12635998,-19.15,-0.18
2020/4/27,10407.49,10578.96,10407.49,10567.27,17879833,219.91,2.13
2020/4/28,10580.25,10620.52,10537.71,10616.06,18348772,48.79,0.46
2020/4/29,10656.4,10794.83,10656.4,10772.22,19442460,156.16,1.47
2020/4/30,10826.26,11012.78,10826.26,10992.14,23177112,219.92,2.04
2020/5/4,10781.51,10781.51,10658.5,10720.48,19109073,-271.66,-2.47
2020/5/5,10756.95,10833.53,10735.01,10774.61,17930276,54.13,0.5
2020/5/6,10771.09,10828.73,10708.1,10774.98,18266885,0.37,0
2020/5/7,10778.53,10890.87,10775.16,10842.92,16867776,67.94,0.63
2020/5/8,10883.22,10970.7,10883.22,10901.42,18783043,58.5,0.54
2020/5/11,10942.18,11039.11,10942.18,11013.26,16983128,111.84,1.03
2020/5/12,10974.51,10974.51,10854.51,10879.47,17443756,-133.79,-1.21
2020/5/13,10861.01,10938.27,10828.93,10938.27,16820461,58.8,0.54
2020/5/14,10894.17,10894.17,10777.46,10780.88,18810384,-157.39,-1.44
2020/5/15,10833.16,10904.01,10730.55,10814.92,17642939,34.04,0.32
2020/5/18,10753.21,10812.87,10730.7,10740.55,19517062,-74.37,-0.69
2020/5/19,10812.79,10924.79,10812.79,10860.44,18928276,119.89,1.12
2020/5/20,10892.76,10933.98,10860.15,10907.8,17253782,47.36,0.44
2020/5/21,10933.21,11021.66,10933.21,11008.31,17221805,100.51,0.92
2020/5/22,10977.55,10977.55,10804.56,10811.15,17839937,-197.16,-1.79
2020/5/25,10812.94,10874.54,10719.25,10871.18,14879299,60.03,0.56
2020/5/26,10903.32,11046.22,10903.32,10997.21,18241646,126.03,1.16
2020/5/27,11023.93,11069.72,10972.25,11014.66,15794424,17.45,0.16
2020/5/28,11040.62,11087.53,10915.3,10944.19,17308468,-70.47,-0.64
